"modelo","n_existencias","precio","descripcion","id_proveedor","id_marca","costo","id_tienda","notas","articulo"
"5427",4,1490,"",7,8,745,1,"","Prenda"
"5441",0,940,"",7,8,470,1,"","Prenda"
"5443",10,1680,"",7,8,840,1,"","Prenda"
"5445",29,1750,"",7,8,875,1,"","Prenda"
"5469",19,1590,"",7,8,795,1,"","Prenda"
"5475",0,1100,"",7,8,550,1,"","Prenda"
"5477",0,940,"",7,8,470,1,"","Prenda"
"5488",11,1500,"",7,8,750,1,"","Prenda"
"5504",14,1000,"",7,8,500,1,"","Prenda"
"5506",1,1050,"",7,8,525,1,"","Prenda"
"5508",14,1200,"",7,8,600,1,"","Prenda"
"5519",3,1750,"",7,8,875,1,"","Prenda"
"5525",6,2000,"",7,8,1000,1,"","Prenda"
"5536",0,1650,"",7,8,825,1,"","Prenda"
"5538",6,1750,"",7,8,875,1,"","Prenda"
"5539",9,1800,"",7,8,900,1,"","Prenda"
"5549",7,1850,"",7,8,925,1,"","Prenda"
"5550",1,1790,"",7,8,895,1,"","Prenda"
"5551",11,1900,"",7,8,950,1,"","Prenda"
"5552",5,1890,"",7,8,945,1,"","Prenda"
"5553",4,1750,"",7,8,875,1,"","Prenda"
"5554",6,2200,"",7,8,1100,1,"","Prenda"
"5557",9,2700,"",7,8,1350,1,"","Prenda"
"5559",2,1750,"",7,8,875,1,"","Prenda"
"5560",6,1590,"",7,8,795,1,"","Prenda"
"5561",13,1850,"",7,8,925,1,"","Prenda"
"5563",0,1850,"",7,8,925,1,"","Prenda"
"5566",5,1870,"",7,8,935,1,"","Prenda"
"5567",9,1790,"",7,8,895,1,"","Prenda"
"5568",8,1900,"",7,8,950,1,"","Prenda"
"5571",0,1900,"",7,8,950,1,"","Prenda"
"5574",0,1900,"",7,8,950,1,"","Prenda"
"5576",5,1900,"",7,8,950,1,"","Prenda"
"5578",16,1990,"",7,8,995,1,"","Prenda"
"5580",17,1920,"",7,8,960,1,"","Prenda"
"5582",6,1900,"",7,8,950,1,"","Prenda"
"5583",9,1690,"",7,8,845,1,"","Prenda"
"5588",11,1800,"",7,8,900,1,"","Prenda"
"5589",13,1850,"",7,8,925,1,"","Prenda"
"5592",12,1950,"",7,8,975,1,"","Prenda"
"5593",8,1200,"",7,8,600,1,"","Prenda"
"5594",16,2000,"",7,8,1000,1,"","Prenda"
"5596",16,1290,"",7,8,645,1,"","Prenda"
"ASL-1419",4,3000,"",6,7,1500,1,"","Prenda"
"ASL-1423",4,2600,"",6,7,1300,1,"","Prenda"
"ASL-1704",1,2400,"",6,7,1200,1,"","Prenda"
"ASL-2011",8,3800,"",6,7,1900,1,"","Prenda"
"CC-1018",19,3400,"",6,7,1700,1,"","Prenda"
"CC-1277",1,3000,"",6,7,1500,1,"","Prenda"
"CC-1440",7,4100,"",6,7,2050,1,"","Prenda"
"CC-1473",9,3500,"",6,7,1750,1,"","Prenda"
"CC-1474",6,3080,"",6,7,1540,1,"","Prenda"
"CC-1475",8,2000,"",6,7,1000,1,"","Prenda"
"CD-3222",3,4200,"",6,7,2100,1,"","Prenda"
"CD-14327",0,4800,"",6,7,2400,1,"","Prenda"
"CD-7664",9,3320,"",6,7,1660,1,"","Prenda"
"CDHK-9163",2,2000,"",6,7,1000,1,"","Prenda"
"CDCD-711",14,3080,"",6,7,1540,1,"","Prenda"
"CDCE0010-Nyx",3,5600,"",11,12,2800,1,"","Prenda"
"CDCJ-0011",10,3880,"",6,7,1940,1,"","Prenda"
"CDJC-214",1,4100,"",6,7,2050,1,"","Prenda"
"CDJC-931",8,4700,"",6,7,2350,1,"","Prenda"
"CDCF-158",23,3500,"",6,7,1750,1,"","Prenda"
"EU-3090",9,2000,"",6,7,1000,1,"","Prenda"
"GLL-1116",3,2400,"",6,7,1200,1,"","Prenda"
"GLL-1332",10,2600,"",6,7,1300,1,"","Prenda"
"NA-070",8,4780,"",6,7,2390,1,"","Prenda"
"NA-5096",7,3880,"",6,7,1940,1,"","Prenda"
"NL-3647",4,3200,"",6,7,1600,1,"","Prenda"
"NL-3664",5,2900,"",6,7,1450,1,"","Prenda"
"NL-3747",6,3200,"",6,7,1600,1,"","Prenda"
"SP-7113",5,3880,"",6,7,1940,1,"","Prenda"
"SP-8802",1,5700,"",6,7,2850,1,"","Prenda"
"JE-2001",13,3800,"",6,7,1900,1,"","Prenda"
"LEQ-705",8,3080,"",6,7,1540,1,"","Prenda"
"001",6,700,"",8,9,350,1,"","Prenda"
"0714",2,1300,"",8,9,650,1,"","Prenda"
"714",8,1500,"",8,9,750,1,"","Prenda"
"722",36,1860,"",8,9,930,1,"","Prenda"
"722",2,1700,"",10,11,850,1,"","Prenda"
"722",1,1700,"",3,3,850,1,"","Prenda"
"0725",3,1060,"",8,9,530,1,"","Prenda"
"730",24,1860,"dev clienta",8,9,930,1,"","Prenda"
"750",12,1600,"bajo Aidee",8,9,800,1,"","Prenda"
"757",6,1300,"",8,9,650,1,"","Prenda"
"763",1,1200,"",8,9,600,1,"","Prenda"
"765",36,1860,"",8,9,930,1,"","Prenda"
"765",3,1900,"",8,9,950,1,"","Prenda"
"0770",1,1400,"",8,9,700,1,"","Prenda"
"0771",2,1200,"",8,9,600,1,"","Prenda"
"772",2,760,"",8,9,380,1,"","Prenda"
"780",13,1100,"",8,9,550,1,"","Prenda"
"782",3,1000,"",8,9,500,1,"","Prenda"
"791",3,1640,"",8,9,820,1,"","Prenda"
"792",2,1500,"",8,9,750,1,"","Prenda"
"793",18,800,"bajo Aidee",8,9,400,1,"","Prenda"
"794",8,1700,"",8,9,850,1,"","Prenda"
"796",20,800,"bajo Aidee",8,9,400,1,"","Prenda"
"797",11,1600,"",8,9,800,1,"","Prenda"
"798",4,800,"",8,9,400,1,"","Prenda"
"799",5,1600,"",8,9,800,1,"","Prenda"
"801",17,700,"",8,9,350,1,"","Prenda"
"802",2,1600,"",8,9,800,1,"","Prenda"
"804",1,1200,"bajo Aidee",8,9,600,1,"","Prenda"
"807",12,1200,"bajo Aidee",8,9,600,1,"","Prenda"
"811",5,1720,"",8,9,860,1,"","Prenda"
"812",6,1700,"",8,9,850,1,"","Prenda"
"815",7,2200,"",8,9,1100,1,"","Prenda"
"816",5,1700,"",8,9,850,1,"","Prenda"
"819",17,1700,"",8,9,850,1,"","Prenda"
"826",14,1500,"",8,9,750,1,"","Prenda"
"827",6,1600,"",8,9,800,1,"","Prenda"
"830",3,1360,"",8,9,680,1,"","Prenda"
"831",2,1600,"",8,9,800,1,"","Prenda"
"832",10,1360,"",8,9,680,1,"","Prenda"
"833",7,1760,"",8,9,880,1,"","Prenda"
"834",7,1460,"",8,9,730,1,"","Prenda"
"834",2,1860,"",8,9,930,1,"","Prenda"
"836",2,1700,"",8,9,850,1,"","Prenda"
"837",3,1400,"",8,9,700,1,"","Prenda"
"839",8,1600,"",8,9,800,1,"","Prenda"
"840",9,1700,"",8,9,850,1,"","Prenda"
"841",4,1860,"",8,9,930,1,"","Prenda"
"842",0,1800,"",8,9,900,1,"","Prenda"
"844",10,1600,"",8,9,800,1,"","Prenda"
"845",6,1300,"",8,9,650,1,"","Prenda"
"847",11,1640,"",8,9,820,1,"","Prenda"
"848",11,1600,"",8,9,800,1,"","Prenda"
"850",6,1700,"",8,9,850,1,"","Prenda"
"851",12,1700,"",8,9,850,1,"","Prenda"
"851",2,1840,"",1,1,920,1,"","Prenda"
"852",16,2200,"",8,9,1100,1,"","Prenda"
"853",10,1500,"",8,9,750,1,"","Prenda"
"854",1,1700,"",8,9,850,1,"","Prenda"
"Capa",20,260,"",8,9,130,1,"","Prenda"
"2096",6,1080,"",4,4,540,1,"","Prenda"
"3819",1,1500,"",4,4,750,1,"","Prenda"
"3859",6,1700,"",4,4,850,1,"","Prenda"
"3898",1,2260,"",4,4,1130,1,"","Prenda"
"3917",4,1220,"",4,4,610,1,"","Prenda"
"3979",16,1798,"",4,4,899,1,"","Prenda"
"4005",12,1100,"",4,4,550,1,"","Prenda"
"4036",11,1240,"",4,4,620,1,"","Prenda"
"4042",4,1400,"",4,4,700,1,"","Prenda"
"4050",1,1440,"",4,4,720,1,"","Prenda"
"4054",2,1440,"",4,4,720,1,"","Prenda"
"4080",3,1780,"",4,4,890,1,"","Prenda"
"4082",5,1240,"",4,4,620,1,"","Prenda"
"4089",4,1600,"",4,4,800,1,"","Prenda"
"4095",7,1900,"",4,4,950,1,"","Prenda"
"4104",1,2400,"",4,4,1200,1,"","Prenda"
"4113",2,1300,"",4,4,650,1,"","Prenda"
"4119",13,1320,"",4,4,660,1,"","Prenda"
"4132",0,1800,"",4,4,900,1,"","Prenda"
"4137",7,1760,"",4,4,880,1,"","Prenda"
"4139",5,1300,"",4,4,650,1,"","Prenda"
"4150",9,1800,"",4,4,900,1,"","Prenda"
"4153",3,1780,"",4,4,890,1,"","Prenda"
"4154",5,1780,"",4,4,890,1,"","Prenda"
"4169",4,1580,"",4,4,790,1,"","Prenda"
"4174",2,1998,"",4,4,999,1,"","Prenda"
"4175",0,2300,"",4,4,1150,1,"","Prenda"
"4183",4,1480,"",4,4,740,1,"","Prenda"
"4195",7,1860,"",4,4,930,1,"","Prenda"
"4196",6,1700,"",4,4,850,1,"","Prenda"
"4206",1,1600,"",4,4,800,1,"","Prenda"
"4216",5,1980,"",4,4,990,1,"","Prenda"
"4214",5,2998,"",4,4,1499,1,"","Prenda"
"4218",8,1440,"",4,4,720,1,"","Prenda"
"4223",2,1440,"",4,4,720,1,"","Prenda"
"4224",0,2360,"",4,4,1180,1,"","Prenda"
"4229",5,1100,"",4,4,550,1,"","Prenda"
"4232",13,2600,"",4,4,1300,1,"","Prenda"
"4233",5,1800,"",4,4,900,1,"","Prenda"
"4234",4,1920,"",4,4,960,1,"","Prenda"
"4242",0,1600,"",4,4,800,1,"","Prenda"
"4258",2,1780,"",4,4,890,1,"","Prenda"
"4274",4,1900,"",4,4,950,1,"","Prenda"
"4291",6,2380,"",4,4,1190,1,"","Prenda"
"4297",4,2500,"",4,4,1250,1,"","Prenda"
"4304",4,2398,"",4,4,1199,1,"","Prenda"
"4308",3,2300,"",4,4,1150,1,"","Prenda"
"4312",5,1700,"",4,4,850,1,"","Prenda"
"4329",5,1598,"",4,4,799,1,"","Prenda"
"14028",12,1240,"",4,4,620,1,"","Prenda"
"14037",7,1240,"",4,4,620,1,"","Prenda"
"14043",3,1980,"",4,4,990,1,"","Prenda"
"14045",5,2300,"",4,4,1150,1,"","Prenda"
"14046",1,2180,"",4,4,1090,1,"","Prenda"
"14053",5,1600,"",4,4,800,1,"","Prenda"
"14056",10,1400,"",4,4,700,1,"","Prenda"
"14060",4,1940,"",4,4,970,1,"","Prenda"
"14061",3,1720,"",4,4,860,1,"","Prenda"
"14067",6,2600,"",4,4,1300,1,"","Prenda"
"14073",6,2700,"",4,4,1350,1,"","Prenda"
"14074",6,1998,"",4,4,999,1,"","Prenda"
"036",7,230,"",1,1,115,1,"","Prenda"
"1009",14,180,"",1,1,90,1,"","Prenda"
"1116",18,180,"copas silic",1,1,90,1,"","Prenda"
"1025",8,270,"copas tela",1,1,135,1,"","Prenda"
"1403",4,150,"",1,1,75,1,"","Prenda"
"1425",7,420,"Nedly",1,1,210,1,"","Prenda"
"1881",2,200,"",1,1,100,1,"","Prenda"
"103",1,900,"",9,6,450,1,"","Prenda"
"117",8,500,"",9,6,250,1,"","Prenda"
"1777",2,500,"",5,5,250,1,"","Prenda"
"bolero",1,400,"",5,5,200,1,"","Prenda"
"1122",22,1100,"",5,5,550,1,"","Prenda"
"1129",9,1200,"",5,5,600,1,"","Prenda"
"1220",8,1300,"",5,5,650,1,"","Prenda"
"1240",12,1200,"",5,5,600,1,"","Prenda"
"1449",9,1200,"",5,5,600,1,"","Prenda"
"1551",8,1200,"",5,5,600,1,"","Prenda"
"1554",6,1200,"",5,5,600,1,"","Prenda"
"1766",17,1300,"",5,5,650,1,"","Prenda"
"1771",4,1200,"",5,5,600,1,"","Prenda"
"9070",5,1000,"",2,2,500,1,"","Prenda"
"9032",6,1000,"",2,2,500,1,"","Prenda"
"9033",1,1200,"",2,2,600,1,"","Prenda"
"9071",7,1200,"",2,2,600,1,"","Prenda"
"9100",2,1200,"",2,2,600,1,"","Prenda"
"9201",0,1200,"",2,2,600,1,"","Prenda"
"9205",0,1200,"",2,2,600,1,"","Prenda"
"9208",12,1200,"",2,2,600,1,"","Prenda"
"9239",5,1200,"",2,2,600,1,"","Prenda"
"9260",5,1000,"",2,2,500,1,"","Prenda"
"9301",7,1000,"",2,2,500,1,"","Prenda"
"9302",9,1200,"",2,2,600,1,"","Prenda"
"9310",6,1000,"",2,2,500,1,"","Prenda"
"9315",3,1000,"",2,2,500,1,"","Prenda"
"9320",5,1200,"",2,2,600,1,"","Prenda"
"9375",6,1200,"",2,2,600,1,"","Prenda"
"634",1,2200,"",10,11,1100,1,"","Prenda"
"8345",7,2000,"",10,11,1000,1,"","Prenda"
"514",4,2200,"",10,11,1100,1,"","Prenda"
"508",3,1800,"",10,11,900,1,"","Prenda"
"344",5,1700,"",10,11,850,1,"","Prenda"
"712",1,800,"",8,9,400,1,"","Prenda"
"719",1,800,"",8,9,400,1,"","Prenda"
"720-A",3,800,"",8,9,400,1,"","Prenda"
"720",2,800,"",8,9,400,1,"","Prenda"
"726",2,800,"",8,9,400,1,"","Prenda"
"727",6,800,"",8,9,400,1,"","Prenda"
"Aretes",2,200,"",11,12,100,1,"","Prenda"
"Brazaletes",3,400,"",11,12,200,1,"","Prenda"
"Capa-mod",5,200,"",11,12,100,1,"","Prenda"
"Capitas",46,200,"",11,12,100,1,"","Prenda"
"Clau-chalbord",9,400,"",11,12,200,1,"","Prenda"
"CHAL-EVE",1,140,"",11,12,70,1,"","Prenda"
"Chal-conejo",1,400,"",11,12,200,1,"","Prenda"
"Chal-shifon",16,120,"",11,12,60,1,"","Prenda"
"Bolerito-mod",15,120,"",11,12,60,1,"","Prenda"
"Bolero",38,240,"",11,12,120,1,"","Prenda"
"Saco",17,200,"",11,12,100,1,"","Prenda"
"Saco-Shifón",13,300,"",11,12,150,1,"","Prenda"
"148",1,3360,"",10,11,1680,3,"","Prenda"
"182",5,2000,"",10,11,1000,3,"","Prenda"
"262",6,2400,"",10,11,1200,3,"","Prenda"
"264",1,2300,"",10,11,1150,3,"","Prenda"
"266",4,2000,"",10,11,1000,3,"","Prenda"
"274",5,2360,"",10,11,1180,3,"","Prenda"
"276",4,1040,"",10,11,520,3,"","Prenda"
"282",3,1780,"",10,11,890,3,"","Prenda"
"296",1,2900,"",10,11,1450,3,"","Prenda"
"306",6,2360,"",10,11,1180,3,"","Prenda"
"322",3,1900,"",10,11,950,3,"","Prenda"
"324",2,2360,"",10,11,1180,3,"","Prenda"
"332",0,2200,"",10,11,1100,3,"","Prenda"
"332",1,700,"",10,11,350,3,"","Prenda"
"338",1,2260,"",10,11,1130,3,"","Prenda"
"344",12,1700,"",10,11,850,3,"","Prenda"
"346",1,1600,"",10,11,800,3,"","Prenda"
"352",3,700,"",10,11,350,3,"","Prenda"
"356",7,2400,"",10,11,1200,3,"","Prenda"
"362",4,2400,"",10,11,1200,3,"","Prenda"
"374",2,2000,"",10,11,1000,3,"","Prenda"
"380",7,2360,"",10,11,1180,3,"","Prenda"
"398",0,2200,"",10,11,1100,3,"","Prenda"
"400",0,2000,"",10,11,1000,3,"","Prenda"
"432",1,2460,"a Bianca 27jul",10,11,1230,3,"","Prenda"
"444",9,2200,"",10,11,1100,3,"","Prenda"
"450",0,1800,"",10,11,900,3,"","Prenda"
"466",1,2600,"",10,11,1300,3,"","Prenda"
"482",1,2200,"",10,11,1100,3,"","Prenda"
"484",1,1900,"",10,11,950,3,"","Prenda"
"506",7,2400,"",10,11,1200,3,"","Prenda"
"508",6,1800,"",10,11,900,3,"","Prenda"
"514",9,2200,"",10,11,1100,3,"","Prenda"
"530",1,1900,"",10,11,950,3,"","Prenda"
"580",1,2400,"",10,11,1200,3,"","Prenda"
"604",10,2400,"",10,11,1200,3,"","Prenda"
"616",8,2000,"",10,11,1000,3,"","Prenda"
"620",1,2200,"",10,11,1100,3,"","Prenda"
"626",5,1800,"",10,11,900,3,"","Prenda"
"634",4,2200,"",10,11,1100,3,"","Prenda"
"640",4,2400,"518",10,11,1200,3,"","Prenda"
"640",4,2400,"",10,11,1200,3,"","Prenda"
"698",0,1920,"",10,11,960,3,"","Prenda"
"702",12,1720,"",10,11,860,3,"","Prenda"
"706",1,1900,"",10,11,950,3,"","Prenda"
"726",3,2700,"",10,11,1350,3,"","Prenda"
"762",6,2300,"",10,11,1150,3,"","Prenda"
"772",2,1900,"",10,11,950,3,"","Prenda"
"774",9,1760,"",10,11,880,3,"","Prenda"
"776",1,2400,"",10,11,1200,3,"","Prenda"
"840",3,2100,"",10,11,1050,3,"","Prenda"
"860",3,2200,"",10,11,1100,3,"","Prenda"
"874",3,2300,"",10,11,1150,3,"","Prenda"
"1246",1,2360,"",10,11,1180,3,"","Prenda"
"1342",1,1800,"",10,11,900,3,"","Prenda"
"1518",7,2400,"",10,11,1200,3,"","Prenda"
"3999",1,500,"",10,11,250,3,"","Prenda"
"4271",2,1470,"",10,11,735,3,"","Prenda"
"4393",1,400,"",10,11,200,3,"","Prenda"
"4497",15,1260,"",10,11,630,3,"","Prenda"
"4735",3,1000,"",10,11,500,3,"","Prenda"
"4839",11,1700,"",10,11,850,3,"","Prenda"
"4877",5,1470,"",10,11,735,3,"","Prenda"
"5061",4,400,"",10,11,200,3,"","Prenda"
"5131",1,200,"",10,11,100,3,"","Prenda"
"5367",3,200,"rebaja",10,11,100,3,"","Prenda"
"5395",2,1260,"",10,11,630,3,"","Prenda"
"5405",2,100,"",10,11,50,3,"","Prenda"
"5459",4,300,"rebaja",10,11,150,3,"","Prenda"
"5497",1,700,"",10,11,350,3,"","Prenda"
"5565",1,400,"",10,11,200,3,"","Prenda"
"5575",2,600,"",10,11,300,3,"","Prenda"
"5577",0,200,"rebaja",10,11,100,3,"","Prenda"
"5601",1,200,"",10,11,100,3,"","Prenda"
"5687",2,900,"",10,11,450,3,"","Prenda"
"5695",3,2100,"2abian27abril",10,11,1050,3,"","Prenda"
"5697",4,1200,"",10,11,600,3,"","Prenda"
"5727",1,200,"rebaja",10,11,100,3,"","Prenda"
"5733",1,200,"rebaja",10,11,100,3,"","Prenda"
"5777",2,500,"bajo Emilio",10,11,250,3,"","Prenda"
"5813",1,500,"",10,11,250,3,"","Prenda"
"5863",1,1100,"",10,11,550,3,"","Prenda"
"5935",1,600,"",10,11,300,3,"","Prenda"
"5939",5,1300,"bajo Emilio",10,11,650,3,"","Prenda"
"5961",2,400,"bajo Emilio",10,11,200,3,"","Prenda"
"5967",1,200,"rebaja",10,11,100,3,"","Prenda"
"5977",1,200,"rebaja",10,11,100,3,"","Prenda"
"6039",2,200,"rebaja",10,11,100,3,"","Prenda"
"6077",1,400,"",10,11,200,3,"","Prenda"
"6195",4,500,"bajo Claudia",10,11,250,3,"","Prenda"
"6205",1,400,"bajo Emilio",10,11,200,3,"","Prenda"
"6355",5,500,"bajo Claudia",10,11,250,3,"","Prenda"
"6377",2,200,"bajo Emilio",10,11,100,3,"","Prenda"
"6395",1,1900,"",10,11,950,3,"","Prenda"
"6411",1,800,"",10,11,400,3,"","Prenda"
"6417",2,700,"bajo Emilio",10,11,350,3,"","Prenda"
"6433",1,400,"bajo Emilio",10,11,200,3,"","Prenda"
"6473",2,1260,"",10,11,630,3,"","Prenda"
"6485",3,1900,"",10,11,950,3,"","Prenda"
"6511",3,1300,"",10,11,650,3,"","Prenda"
"6521",0,500,"bajo Emilio",10,11,250,3,"","Prenda"
"6549",2,1000,"",10,11,500,3,"","Prenda"
"6553",1,500,"bajo Emilio",10,11,250,3,"","Prenda"
"6605",5,1260,"",10,11,630,3,"","Prenda"
"6621",2,700,"",10,11,350,3,"","Prenda"
"6685",0,1800,"",10,11,900,3,"","Prenda"
"6729",1,900,"",10,11,450,3,"","Prenda"
"6771",5,2000,"",10,11,1000,3,"","Prenda"
"6787",1,500,"",10,11,250,3,"","Prenda"
"6797",1,1200,"",10,11,600,3,"","Prenda"
"6803",1,1500,"",10,11,750,3,"","Prenda"
"6863",1,1200,"",10,11,600,3,"","Prenda"
"6895",2,1000,"",10,11,500,3,"","Prenda"
"6905",2,500,"",10,11,250,3,"","Prenda"
"6919",5,1200,"",10,11,600,3,"","Prenda"
"6957",0,800,"",10,11,400,3,"","Prenda"
"6971",0,800,"",10,11,400,3,"","Prenda"
"7003",4,1140,"",10,11,570,3,"","Prenda"
"7011",1,1000,"",10,11,500,3,"","Prenda"
"7047",3,1600,"",10,11,800,3,"","Prenda"
"7055",2,1344,"",10,11,672,3,"","Prenda"
"7057",5,1000,"",10,11,500,3,"","Prenda"
"7071",9,1400,"",10,11,700,3,"","Prenda"
"7083",8,1680,"",10,11,840,3,"","Prenda"
"7087",4,1440,"",10,11,720,3,"","Prenda"
"7111",2,1350,"",10,11,675,3,"","Prenda"
"7115",2,2100,"",10,11,1050,3,"","Prenda"
"7123",2,2500,"",10,11,1250,3,"","Prenda"
"7161",1,1152,"",10,11,576,3,"","Prenda"
"7179",3,1400,"",10,11,700,3,"","Prenda"
"7181",2,2100,"",10,11,1050,3,"","Prenda"
"7193",1,1050,"",10,11,525,3,"","Prenda"
"7221",1,1260,"",10,11,630,3,"","Prenda"
"7227",2,1960,"",10,11,980,3,"","Prenda"
"7225",2,1900,"",10,11,950,3,"","Prenda"
"7245",1,1960,"",10,11,980,3,"","Prenda"
"7275",2,900,"",10,11,450,3,"","Prenda"
"7279",1,900,"",10,11,450,3,"","Prenda"
"7317",2,1470,"",10,11,735,3,"","Prenda"
"7337",1,1100,"",10,11,550,3,"","Prenda"
"7401",2,2100,"",10,11,1050,3,"","Prenda"
"7431",0,2400,"",10,11,1200,3,"","Prenda"
"7443",2,1200,"",10,11,600,3,"","Prenda"
"7507",3,1200,"",10,11,600,3,"","Prenda"
"7565",1,900,"",10,11,450,3,"","Prenda"
"7573",1,1800,"",10,11,900,3,"","Prenda"
"7599",6,2040,"",10,11,1020,3,"","Prenda"
"7605",3,1260,"",10,11,630,3,"","Prenda"
"7611",2,1000,"**que bajo a 550",10,11,500,3,"","Prenda"
"7647",1,1900,"",10,11,950,3,"","Prenda"
"7663",1,800,"",10,11,400,3,"","Prenda"
"7685",2,1700,"",10,11,850,3,"","Prenda"
"7703",2,972,"",10,11,486,3,"","Prenda"
"7715",1,2000,"",10,11,1000,3,"","Prenda"
"7721",1,1600,"",10,11,800,3,"","Prenda"
"7749",1,2400,"",10,11,1200,3,"","Prenda"
"7755",7,1000,"",10,11,500,3,"","Prenda"
"7761",6,2000,"",10,11,1000,3,"","Prenda"
"7765",2,1600,"",10,11,800,3,"","Prenda"
"7799",1,500,"",10,11,250,3,"","Prenda"
"7803",1,1700,"",10,11,850,3,"","Prenda"
"7807",1,2400,"",10,11,1200,3,"","Prenda"
"7837",3,700,"",10,11,350,3,"","Prenda"
"7839",1,1560,"",10,11,780,3,"","Prenda"
"7877",1,1700,"",10,11,850,3,"","Prenda"
"7895",2,1700,"",10,11,850,3,"","Prenda"
"7899",2,1350,"",10,11,675,3,"","Prenda"
"7903",2,1900,"",10,11,950,3,"","Prenda"
"8007",5,1150,"",10,11,575,3,"","Prenda"
"8089",1,2200,"",10,11,1100,3,"","Prenda"
"8093",3,1800,"",10,11,900,3,"","Prenda"
"8097",2,2130,"",10,11,1065,3,"","Prenda"
"8099",2,1700,"",10,11,850,3,"","Prenda"
"8145",7,2200,"81451",10,11,1100,3,"","Prenda"
"8153",2,1800,"",10,11,900,3,"","Prenda"
"8161",0,1000,"",10,11,500,3,"","Prenda"
"8167",1,1900,"",10,11,950,3,"","Prenda"
"8203",10,700,"",10,11,350,3,"","Prenda"
"8207",0,2200,"aBianca29jul",10,11,1100,3,"","Prenda"
"8211",2,700,"",10,11,350,3,"","Prenda"
"8245",1,1500,"",10,11,750,3,"","Prenda"
"8291",4,1580,"",10,11,790,3,"","Prenda"
"8345",0,2000,"",10,11,1000,3,"","Prenda"
"8397N",1,540,"rebaja",10,11,270,3,"","Prenda"
"8401",1,1470,"",10,11,735,3,"","Prenda"
"8413",1,200,"rebaja",10,11,100,3,"","Prenda"
"8519",14,2200,"",10,11,1100,3,"","Prenda"
"8533",2,1300,"",10,11,650,3,"","Prenda"
"8535",5,2200,"",10,11,1100,3,"","Prenda"
"8547",5,2300,"",10,11,1150,3,"","Prenda"
"8571",2,1800,"",10,11,900,3,"","Prenda"
"8607",6,2000,"",10,11,1000,3,"","Prenda"
"8613",0,2000,"",10,11,1000,3,"","Prenda"
"8615",16,1980,"",10,11,990,3,"","Prenda"
"8653",5,1900,"",10,11,950,3,"","Prenda"
"8659",8,1800,"",10,11,900,3,"","Prenda"
"8679",7,1900,"",10,11,950,3,"","Prenda"
"8691",7,2200,"",10,11,1100,3,"","Prenda"
"8721",6,2100,"",10,11,1050,3,"","Prenda"
"8753",9,1900,"",10,11,950,3,"","Prenda"
"8775",5,2200,"",10,11,1100,3,"","Prenda"
"8784",8,2400,"",10,11,1200,3,"","Prenda"
"8797",3,2200,"",10,11,1100,3,"","Prenda"
"8827",4,1820,"",10,11,910,3,"","Prenda"
"18515",6,2200,"",10,11,1100,3,"","Prenda"
"18629",4,1980,"",10,11,990,3,"","Prenda"
"56951",2,1400,"",10,11,700,3,"","Prenda"
"1025",0,200,"",1,1,100,3,"","Prenda"
"1116",0,210,"",1,1,105,3,"","Prenda"
